hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
60,40,0,0,Local-gov,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
40,42,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,60100,Machine-op-inspct
35,20,0,0,Private,HS-grad,9,Never-married,Other-relative,Black,Female,United-States,2100,Sales
40,21,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,12000,Other-service
35,59,0,0,Local-gov,HS-grad,9,Separated,Unmarried,White,Female,United-States,18500,Adm-clerical
22,21,0,1602,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,398,Sales
40,28,0,0,State-gov,Some-college,10,Divorced,Unmarried,White,Male,United-States,25000,Other-service
40,49,2597,0,Private,Assoc-acdm,12,Separated,Not-in-family,White,Female,United-States,17597,Adm-clerical
10,20,0,0,State-gov,Some-college,10,Never-married,Own-child,White,Female,United-States,3300,Other-service
20,38,0,0,Self-emp-not-inc,Assoc-acdm,12,Divorced,Unmarried,White,Female,United-States,26100,Other-service
45,60,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,52685,Exec-managerial
30,23,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,16050,Prof-specialty
37,67,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,60778,Exec-managerial
50,40,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,45949,Transport-moving
20,17,0,0,?,9th,5,Never-married,Own-child,Black,Male,United-States,1000,?
20,20,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,8015,Other-service
50,32,0,2444,Private,Bachelors,13,Never-married,Other-relative,White,Male,United-States,54822,Exec-managerial
48,33,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,55701,Sales
26,75,0,0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,37175,Adm-clerical
4,81,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,59539,Adm-clerical
40,53,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,Black,Male,United-States,42817,Exec-managerial
40,32,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,14127,Adm-clerical
30,40,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,8780,Adm-clerical
20,77,0,0,Private,5th-6th,3,Married-civ-spouse,Husband,White,Male,United-States,3124,Other-service
40,53,0,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,Black,Male,United-States,93500,Craft-repair
30,69,0,1429,Private,HS-grad,9,Widowed,Not-in-family,White,Female,United-States,36574,Adm-clerical
45,31,0,1902,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,96388,Sales
12,18,0,0,Private,11th,7,Never-married,Own-child,White,Male,United-States,5020,Handlers-cleaners
40,40,0,0,Federal-gov,Assoc-acdm,12,Never-married,Not-in-family,White,Female,United-States,29343,Adm-clerical
40,50,7298,0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,73601,Exec-managerial
40,46,0,0,?,Some-college,10,Divorced,Not-in-family,White,Male,United-States,5000,?
35,27,0,0,Federal-gov,Bachelors,13,Never-married,Other-relative,White,Male,United-States,43200,Transport-moving
40,59,0,0,Private,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,36858,Craft-repair
40,47,0,0,Local-gov,Masters,14,Divorced,Not-in-family,White,Female,United-States,41000,Prof-specialty
40,33,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,35846,Craft-repair
40,44,7688,0,Private,Some-college,10,Married-civ-spouse,Husband,Black,Male,United-States,83988,Machine-op-inspct
56,33,99999,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,99999,Machine-op-inspct
40,23,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,16735,Exec-managerial
25,20,0,0,Private,12th,8,Never-married,Own-child,White,Female,United-States,5000,Other-service
60,27,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,5735,Transport-moving
45,49,0,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,39000,Handlers-cleaners
46,39,0,1876,Private,11th,7,Divorced,Not-in-family,White,Male,United-States,38149,Craft-repair
40,38,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,28208,Sales
40,55,0,0,Self-emp-not-inc,Assoc-acdm,12,Divorced,Not-in-family,White,Female,United-States,25027,Sales
50,28,0,0,Private,HS-grad,9,Separated,Unmarried,White,Female,United-States,19419,Exec-managerial
37,31,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,28100,Tech-support
38,38,0,0,Federal-gov,Some-college,10,Divorced,Unmarried,White,Female,United-States,41022,Exec-managerial
45,53,0,0,Private,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,41350,Farming-fishing
42,21,0,0,?,9th,5,Never-married,Own-child,White,Male,United-States,9000,?
40,39,0,0,State-gov,HS-grad,9,Divorced,Unmarried,White,Female,United-States,29600,Adm-clerical
80,50,99999,0,Self-emp-inc,Prof-school,15,Married-civ-spouse,Husband,White,Male,United-States,99999,Prof-specialty
40,37,1151,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,31180,Tech-support
40,44,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,64532,Exec-managerial
40,64,0,0,Private,HS-grad,9,Divorced,Unmarried,Black,Female,United-States,16337,Adm-clerical
40,24,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,23063,Sales
45,37,4386,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,50846,Exec-managerial
40,24,0,0,Private,HS-grad,9,Never-married,Unmarried,Black,Male,United-States,30000,Transport-moving
45,50,99999,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,99999,Sales
25,18,0,0,State-gov,HS-grad,9,Never-married,Own-child,White,Male,United-States,4932,Other-service
40,48,914,0,Private,HS-grad,9,Separated,Unmarried,White,Female,United-States,39014,Adm-clerical
40,31,0,0,Local-gov,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,9777,Farming-fishing
65,42,0,0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,11780,Prof-specialty
40,24,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,8320,Adm-clerical
40,40,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,26905,Adm-clerical
40,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,26623,Adm-clerical
30,62,2961,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,6144,?
40,59,2202,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,36802,Sales
65,62,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,32035,Farming-fishing
40,21,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,7000,Machine-op-inspct
30,18,0,0,?,10th,6,Never-married,Other-relative,White,Female,United-States,1800,?
50,51,0,2559,Private,Bachelors,13,Divorced,Not-in-family,White,Male,United-States,99999,Exec-managerial
42,26,0,0,Private,Some-college,10,Married-civ-spouse,Wife,White,Female,United-States,41633,Adm-clerical
40,38,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,20949,Craft-repair
50,43,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,88010,Exec-managerial
40,34,0,0,Private,HS-grad,9,Never-married,Unmarried,Black,Female,United-States,19003,Other-service
45,51,0,0,State-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,22000,Craft-repair
38,21,0,0,Private,7th-8th,4,Never-married,Own-child,White,Female,United-States,8493,Farming-fishing
50,31,0,0,Private,Bachelors,13,Never-married,Not-in-family,Black,Female,United-States,28009,Sales
36,20,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,8000,Exec-managerial
25,19,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,3500,Other-service
60,43,0,0,Self-emp-not-inc,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,14158,Sales
45,20,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,6064,Other-service
55,23,0,0,?,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,11000,?
35,43,0,0,Private,Bachelors,13,Divorced,Not-in-family,White,Female,United-States,23680,Other-service
65,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,26000,Adm-clerical
45,38,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,43284,Craft-repair
40,27,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,14898,Sales
32,54,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,25538,Sales
48,39,3103,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,53766,Sales
40,54,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,51600,Prof-specialty
40,21,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,13432,Craft-repair
20,23,0,0,Private,Assoc-acdm,12,Never-married,Own-child,White,Male,United-States,3600,Sales
45,42,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,52012,Prof-specialty
50,48,7298,0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,67667,Exec-managerial
8,21,0,0,State-gov,Some-college,10,Never-married,Not-in-family,White,Female,United-States,5090,Prof-specialty
40,47,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,60516,Other-service
20,52,0,0,Private,11th,7,Divorced,Unmarried,White,Female,United-States,1700,Other-service
40,24,0,0,Private,Assoc-voc,11,Never-married,Not-in-family,White,Male,United-States,21000,Machine-op-inspct
45,75,0,0,Self-emp-not-inc,Masters,14,Widowed,Not-in-family,White,Male,United-States,49032,Sales
38,30,0,0,Private,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,41002,Prof-specialty
40,41,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,22012,Sales
40,31,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,25000,Prof-specialty
90,42,0,0,Self-emp-inc,Some-college,10,Divorced,Unmarried,White,Male,United-States,99999,Exec-managerial
55,36,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,56500,Exec-managerial
50,43,0,1887,Private,Some-college,10,Married-civ-spouse,Wife,White,Female,United-States,65453,Prof-specialty
40,51,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,30260,Exec-managerial
65,38,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,92914,Exec-managerial
45,65,0,0,Private,Some-college,10,Married-civ-spouse,Wife,White,Female,United-States,35927,Exec-managerial
40,39,0,0,Private,Bachelors,13,Divorced,Not-in-family,White,Male,United-States,48800,Adm-clerical
40,31,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,72600,Sales
20,40,0,0,Private,Some-college,10,Divorced,Not-in-family,White,Female,United-States,8050,Sales
40,56,0,0,Local-gov,HS-grad,9,Widowed,Not-in-family,White,Female,United-States,14017,Adm-clerical
38,57,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,12026,Other-service
40,22,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,27000,Adm-clerical
45,52,7298,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,69598,Sales
50,33,0,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,69100,Protective-serv
40,35,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,5700,Exec-managerial
40,44,0,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,15300,Protective-serv
40,56,15024,0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,99999,Exec-managerial
35,32,0,0,Private,Assoc-acdm,12,Divorced,Unmarried,Black,Female,United-States,23512,Prof-specialty
40,35,0,0,Private,HS-grad,9,Separated,Unmarried,White,Male,United-States,30000,Machine-op-inspct
50,46,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,42265,Sales
50,50,7688,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,89688,Prof-specialty
40,31,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,80200,Sales
40,66,0,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,17150,?
60,51,4787,0,Private,Doctorate,16,Divorced,Not-in-family,White,Female,United-States,60553,Craft-repair
70,61,0,0,Local-gov,Masters,14,Divorced,Not-in-family,White,Female,United-States,41640,Prof-specialty
60,23,0,0,Local-gov,Bachelors,13,Never-married,Own-child,White,Female,United-States,8000,Prof-specialty
45,31,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,40000,Craft-repair
40,62,0,0,Local-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,34898,Transport-moving
25,18,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,1355,Sales
40,34,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,60020,Exec-managerial
45,34,0,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,61127,Exec-managerial
45,25,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,25500,Exec-managerial
45,46,0,0,Local-gov,Some-college,10,Divorced,Unmarried,White,Female,United-States,31521,Adm-clerical
20,62,0,0,Private,Some-college,10,Widowed,Not-in-family,White,Female,United-States,7025,Other-service
60,57,99999,0,Self-emp-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
23,17,0,0,Private,12th,8,Never-married,Own-child,White,Female,United-States,2020,Sales
32,23,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,3138,Other-service
45,23,0,0,Private,12th,8,Never-married,Not-in-family,White,Male,United-States,11000,Sales
40,44,0,0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,45001,Prof-specialty
40,54,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,63100,Prof-specialty
40,29,0,0,?,HS-grad,9,Never-married,Not-in-family,Black,Male,United-States,18000,?
9,67,0,0,Private,11th,7,Married-civ-spouse,Husband,Black,Male,United-States,55200,Other-service
40,54,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,18840,Other-service
40,52,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,33633,Machine-op-inspct
30,41,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,28950,Tech-support
40,32,0,0,?,HS-grad,9,Divorced,Unmarried,Black,Male,United-States,25000,?
16,18,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,1451,Other-service
40,36,0,0,State-gov,Prof-school,15,Never-married,Not-in-family,White,Male,United-States,32850,Prof-specialty
40,33,3781,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,23203,Handlers-cleaners
30,18,594,0,Private,11th,7,Never-married,Own-child,White,Female,United-States,2794,Other-service
40,22,0,0,Federal-gov,Some-college,10,Never-married,Not-in-family,White,Female,United-States,9001,Adm-clerical
40,20,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,5024,Exec-managerial
35,18,0,0,Private,11th,7,Never-married,Own-child,White,Male,United-States,9300,Craft-repair
40,50,0,1902,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,83398,Craft-repair
40,40,0,0,Private,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,22000,Machine-op-inspct
40,26,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,1902,Sales
45,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,35000,Sales
40,20,0,2001,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,12545,Other-service
35,28,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,18176,Craft-repair
20,58,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,3995,Transport-moving
40,35,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,6500,Farming-fishing
20,21,0,0,State-gov,Some-college,10,Never-married,Own-child,White,Female,United-States,4520,Prof-specialty
91,31,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30029,Farming-fishing
15,79,0,0,Private,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,17801,Sales
24,22,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,3500,Transport-moving
50,48,0,0,Self-emp-not-inc,11th,7,Married-civ-spouse,Husband,White,Male,United-States,67000,Farming-fishing
50,37,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,74802,Adm-clerical
45,36,0,1902,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,95098,Sales
40,25,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,19145,Craft-repair
60,26,5013,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,47334,Craft-repair
45,51,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,72575,Exec-managerial
40,58,0,0,Local-gov,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,36796,Craft-repair
40,54,8614,0,Private,Bachelors,13,Divorced,Not-in-family,White,Female,United-States,53954,Sales
16,19,0,1719,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,3645,Tech-support
18,21,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,6271,Adm-clerical
40,40,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,22000,Craft-repair
40,50,3942,0,Private,Assoc-acdm,12,Married-civ-spouse,Wife,White,Female,United-States,19358,Sales
40,53,0,0,Private,9th,5,Married-civ-spouse,Husband,White,Male,United-States,16000,Transport-moving
33,62,0,1617,Private,Some-college,10,Separated,Unmarried,White,Female,United-States,13933,Sales
50,58,7688,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,94988,Exec-managerial
37,40,0,0,Private,HS-grad,9,Widowed,Unmarried,Black,Female,United-States,13216,Machine-op-inspct
40,46,5013,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,47090,Craft-repair
40,27,0,1980,Federal-gov,HS-grad,9,Never-married,Not-in-family,Black,Male,United-States,28020,Craft-repair
40,36,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,56085,Adm-clerical
40,36,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,52025,Sales
40,40,0,0,Private,10th,6,Divorced,Unmarried,White,Female,United-States,10456,Machine-op-inspct
15,30,0,0,Private,Assoc-acdm,12,Never-married,Own-child,White,Female,United-States,2400,Tech-support
16,25,0,1719,Local-gov,HS-grad,9,Never-married,Own-child,White,Male,United-States,4281,Farming-fishing
40,19,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,5716,Adm-clerical
70,56,0,0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Wife,White,Female,United-States,10298,Sales
20,44,0,0,Private,Doctorate,16,Married-civ-spouse,Husband,White,Male,United-States,20000,Prof-specialty
40,40,0,0,Local-gov,Assoc-acdm,12,Never-married,Not-in-family,White,Male,United-States,52100,Prof-specialty
48,22,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,79645,Transport-moving
70,23,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,28000,Other-service
40,34,0,0,Private,HS-grad,9,Separated,Unmarried,White,Male,United-States,21000,Adm-clerical
60,35,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,40030,Exec-managerial
40,62,0,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,53235,?
45,53,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30224,Exec-managerial
60,23,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,16841,Craft-repair
50,56,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,73180,Craft-repair
20,19,0,1602,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,509,Other-service
42,26,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,30020,Sales
50,35,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,20342,Transport-moving
40,26,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,19800,Tech-support
40,20,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,13382,Other-service
45,18,0,0,?,11th,7,Never-married,Own-child,White,Female,United-States,690,?
35,36,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,13944,Farming-fishing
21,64,0,0,Private,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,6950,Sales
50,39,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,45000,Sales
20,17,0,0,Private,11th,7,Never-married,Own-child,White,Female,United-States,5000,Other-service
70,40,0,0,Self-emp-not-inc,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,18700,Farming-fishing
40,42,0,0,Private,HS-grad,9,Divorced,Not-in-family,Black,Female,United-States,25000,Machine-op-inspct
60,56,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,22760,Sales
40,24,0,0,Private,Assoc-voc,11,Married-civ-spouse,Wife,White,Female,United-States,21030,Adm-clerical
40,53,7298,0,Federal-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,70198,Adm-clerical
60,45,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,11000,Farming-fishing
25,18,2176,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,8176,Handlers-cleaners
20,36,0,0,State-gov,Some-college,10,Divorced,Unmarried,Black,Female,United-States,5562,Other-service
50,33,0,1740,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,46521,Sales
30,37,0,0,Private,Bachelors,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,United-States,63420,Other-service
10,60,0,0,Self-emp-not-inc,Masters,14,Divorced,Unmarried,White,Female,United-States,38200,Prof-specialty
40,29,0,0,?,HS-grad,9,Never-married,Not-in-family,Black,Male,United-States,1040,?
50,41,0,0,Private,Assoc-voc,11,Divorced,Own-child,White,Male,United-States,20000,Sales
40,49,0,0,?,Assoc-voc,11,Married-spouse-absent,Unmarried,White,Female,United-States,1000,?
55,22,0,0,Private,HS-grad,9,Married-spouse-absent,Not-in-family,White,Male,United-States,25000,Sales
45,24,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,23000,Craft-repair
40,50,0,0,Local-gov,HS-grad,9,Widowed,Unmarried,White,Female,United-States,26121,Transport-moving
40,39,0,0,Private,Some-college,10,Never-married,Unmarried,White,Female,United-States,33860,Craft-repair
45,45,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,36000,Machine-op-inspct
60,46,99999,0,Self-emp-inc,Prof-school,15,Married-civ-spouse,Husband,White,Male,United-States,99999,Prof-specialty
40,28,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,20436,Other-service
40,27,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,Black,Male,United-States,20970,Handlers-cleaners
20,20,594,0,Private,Some-college,10,Never-married,Other-relative,Black,Female,United-States,1894,Prof-specialty
40,31,0,0,Local-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,66060,Protective-serv
40,48,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,24630,Prof-specialty
60,49,0,0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30308,Prof-specialty
40,22,0,0,Private,HS-grad,9,Never-married,Not-in-family,Black,Male,United-States,5200,Craft-repair
48,28,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,15131,Sales
40,53,0,0,Private,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,76700,Adm-clerical
40,23,0,0,Self-emp-not-inc,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,4000,Other-service
10,34,0,2042,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,15225,Tech-support
10,18,0,0,Private,HS-grad,9,Never-married,Other-relative,White,Female,United-States,2600,Priv-house-serv
40,57,0,0,Federal-gov,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,26500,Adm-clerical
50,42,1151,0,Self-emp-inc,HS-grad,9,Divorced,Unmarried,White,Male,United-States,31651,Sales
